n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;powerlaw_ks;powerlaw_valid;powerlaw_reason;seed;beta;gamma;dim
100;267;5.34;75;1;0.6768378729378729;0.2001516300227445;2.4185858585858586;2.8226827917240174;3;78;0.20293366679590868;True;ok;5;0.01;0.25;2
100;181;3.62;13;0;0.5042548562548564;0.42;4.269461077844311;2.74767927456299;2;86;0.2558139534883721;True;ok;6;0.01;0.25;2
100;165;3.3;11;0;0.5583881673881674;0.5405405405405406;4.125916870415648;3.3533545391771495;3;56;0.26785714285714285;True;ok;7;0.01;0.25;2
100;172;3.44;15;0;0.4538564213564213;0.42317380352644834;4.159735349716446;2.9655723933180353;3;50;0.24;True;ok;8;0.01;0.25;2
100;191;3.82;15;0;0.5456863691863691;0.45494505494505494;4.1303666562206205;2.492077218870011;2;82;0.229865529335252;True;ok;9;0.01;0.25;2
100;198;3.96;35;0;0.5581952720482132;0.30663615560640733;3.8538495971351834;2.5967508453650527;2;87;0.23522983088806007;True;ok;0;0.01;0.3;2
100;255;5.1;18;0;0.5715901320901322;0.4092548076923077;3.6699507389162562;3.2296753222345074;5;42;0.16666666666666666;True;ok;1;0.01;0.3;2
100;225;4.5;12;0;0.4705158730158731;0.5032258064516129;4.059434968017057;3.3100339387002373;4;57;0.21052631578947367;True;ok;2;0.01;0.3;2
100;180;3.6;15;0;0.49303696303696315;0.457002457002457;4.797319932998325;2.548977521761405;2;80;0.2538720140471167;True;ok;3;0.01;0.3;2
100;172;3.44;16;0;0.4553055555555556;0.4251968503937008;5.966067864271457;2.6508590122006552;2;79;0.25316455696202533;True;ok;4;0.01;0.3;2
100;300;6.0;95;1;0.7264131032695356;0.17557766908416259;2.0090909090909093;2.7653603501007957;3;86;0.22093023255813954;True;ok;5;0.01;0.3;2
100;198;3.96;18;0;0.5342737425972719;0.4054878048780488;4.128070593846887;3.6278021042031665;4;41;0.24390243902439024;True;ok;6;0.01;0.3;2
100;178;3.56;11;0;0.5618282828282828;0.5280612244897959;5.833612975391499;2.5544117891212297;2;80;0.2375;True;ok;7;0.01;0.3;2
100;183;3.66;15;0;0.5072541902541902;0.41287458379578246;3.9901019796040793;3.8907521646504937;5;28;0.25;True;ok;8;0.01;0.3;2
100;201;4.02;16;0;0.5385119602619602;0.43852855759922554;4.154139156932453;3.1161026582906923;3;67;0.22388059701492538;True;ok;9;0.01;0.3;2
100;214;4.28;44;0;0.5810818316050874;0.27025495750708217;3.299938157081014;2.473398943196756;2;88;0.24522066931189637;True;ok;0;0.01;0.35;2
100;270;5.4;19;0;0.585621136173768;0.4065040650406504;3.5514279579128196;3.8766092398719114;7;28;0.14285714285714285;True;ok;1;0.01;0.35;2
100;236;4.72;14;0;0.49703529803529806;0.5;3.7955756929637525;3.145423460132007;4;58;0.19077967261744916;True;ok;2;0.01;0.35;2
100;194;3.88;17;0;0.5519219930396402;0.4451219512195122;4.44751535455053;2.524146964809261;2;85;0.23529411764705882;True;ok;3;0.01;0.35;2
100;180;3.6;19;0;0.45874279813753494;0.4122905027932961;5.279940119760479;2.5633889702484653;2;79;0.24050632911392406;True;ok;4;0.01;0.35;2
100;315;6.3;99;1;0.7614083973915907;0.18138240296891914;1.9363636363636363;2.6681633848679622;3;88;0.19318181818181818;True;ok;5;0.01;0.35;2
100;219;4.38;23;0;0.5398922768053204;0.3923257635082224;3.838193378645034;2.3922415261181844;2;90;0.25358087277212926;True;ok;6;0.01;0.35;2
100;181;3.62;12;0;0.5610317460317461;0.5226993865030675;5.521532438478747;2.5171851502337557;2;80;0.2375;True;ok;7;0.01;0.35;2
100;201;4.02;17;0;0.5575998217468805;0.42857142857142855;3.634701827989212;3.910266960292687;6;23;0.21739130434782608;True;ok;8;0.01;0.35;2
100;218;4.36;17;0;0.5310247791424262;0.4206730769230769;3.7973677675689097;2.938149166735669;3;71;0.23021855203384287;True;ok;9;0.01;0.35;2
100;240;4.8;63;1;0.6111567751245169;0.2093987560469938;2.7181818181818183;3.099488353166911;3;77;0.22077922077922077;True;ok;0;0.01;0.4;2
100;283;5.66;20;0;0.6097590081057574;0.41219158200290273;3.3850118101782263;2.5613351560263258;3;82;0.17891437691564444;True;ok;1;0.01;0.4;2
100;244;4.88;15;0;0.53295781995782;0.499001996007984;3.6180703624733477;3.0446695152489682;4;58;0.18422249721974093;True;ok;2;0.01;0.4;2
100;204;4.08;19;0;0.5571168362081675;0.43992932862190814;4.296761585706309;3.0705408396701177;3;67;0.22388059701492538;True;ok;3;0.01;0.4;2
100;194;3.88;25;0;0.5093226551226553;0.39892183288409705;4.641187470780738;2.4773825222014345;2;82;0.21951219512195122;True;ok;4;0.01;0.4;2
100;327;6.54;99;1;0.7544051266194125;0.19066846119336026;1.9339393939393938;2.616758429966765;3;90;0.18888888888888888;True;ok;5;0.01;0.4;2
100;231;4.62;25;0;0.5415250527250527;0.38969072164948454;3.6421837316377985;3.946922623114461;5;38;0.2631578947368421;True;ok;6;0.01;0.4;2
100;193;3.86;13;0;0.5792652902652903;0.5114754098360655;5.233635929288103;3.048523754456228;3;64;0.2421726187941068;True;ok;7;0.01;0.4;2
100;215;4.3;17;0;0.5531866270983916;0.4162244124336619;3.4045549895115372;3.845854448072385;6;26;0.23076923076923078;True;ok;8;0.01;0.4;2
100;232;4.64;20;0;0.5755713763360822;0.42164441321152496;3.675689098584554;2.905517249961761;3;76;0.2114746906532241;True;ok;9;0.01;0.4;2
100;267;5.34;84;1;0.6858180821855523;0.16981132075471697;2.2232323232323234;3.0278503863027013;3;85;0.23022406992006775;True;ok;0;0.01;0.45;2
100;305;6.1;21;0;0.6162510819933421;0.4162271805273834;3.2110800944814257;2.4440041514415403;3;84;0.1851712093987936;True;ok;1;0.01;0.45;2
100;258;5.16;19;0;0.5445244248355704;0.4973913043478261;3.3852565772336547;2.908179634784929;4;60;0.2300850354850076;True;ok;2;0.01;0.45;2
100;223;4.46;23;0;0.5747019489536652;0.42491103202846975;4.154647227284562;2.984411730526542;3;73;0.2328767123287671;True;ok;3;0.01;0.45;2
100;211;4.22;31;0;0.5496558835429805;0.37446808510638296;4.123312743079387;2.371065657245304;2;84;0.22407427991030188;True;ok;4;0.01;0.45;2
100;345;6.9;99;1;0.7698682845794648;0.2075740318906606;1.9303030303030304;2.4881206680386985;3;90;0.18159077084758465;True;ok;5;0.01;0.45;2
100;253;5.06;29;0;0.570433465959328;0.37682728749323224;3.2944529708397283;2.9189156971483627;3;83;0.25301204819277107;True;ok;6;0.01;0.45;2
100;210;4.2;14;0;0.5961000111000111;0.5004633920296571;5.066117593228094;2.8977401193978123;3;68;0.21482402491030655;True;ok;7;0.01;0.45;2
100;226;4.52;18;0;0.584583782230841;0.4071573261309926;3.632742155525239;3.542436769750888;6;26;0.19230769230769232;True;ok;8;0.01;0.45;2
100;254;5.08;21;0;0.6072305968884917;0.4103291713961407;3.599957053897359;2.7196806873313357;3;79;0.2257022220823781;True;ok;9;0.01;0.45;2
100;285;5.7;92;1;0.708245276462668;0.16422341807385415;2.0814141414141414;2.890359825376957;3;88;0.24902058214172826;True;ok;0;0.01;0.5;2
100;324;6.48;24;1;0.635933162069082;0.41792656587473004;3.2018181818181817;3.8579687113176386;9;22;0.18181818181818182;True;ok;1;0.01;0.5;2
100;275;5.5;22;0;0.5764876234876235;0.4908005967180507;3.302366127023661;2.8043268125137724;4;62;0.2024042382619523;True;ok;2;0.01;0.5;2
100;236;4.72;24;0;0.5826539391270849;0.41504854368932037;3.728623629719854;2.8029991142856927;3;73;0.21291960848610358;True;ok;3;0.01;0.5;2
100;230;4.6;41;0;0.5953040238893899;0.3152;3.384020618556701;2.963065435642183;3;73;0.2328767123287671;True;ok;4;0.01;0.5;2
100;365;7.3;99;2;0.7965744231613796;0.22180248246087425;1.9262626262626263;2.8446322007784084;4;79;0.16455696202531644;True;ok;5;0.01;0.5;2
