n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;seed;beta;gamma;dim
200;818;4.09;189;4.09;13;8.18;189;0.7970095591419687;196;0.14529828109201212;2.0622110552763817;0;1.0;1.0;2
200;752;3.76;199;3.76;9;7.52;199;0.7931673711656236;200;0.12355283533662709;1.9622110552763818;1;1.0;1.0;2
200;1089;5.445;199;5.445;10;10.89;199;0.7992228770181903;200;0.16319397768517274;1.9452763819095478;2;1.0;1.0;2
200;258;1.29;8;1.29;5;2.58;10;0.5989575929874437;134;0.4987012987012987;2.8473029045643155;0;1.3;0.1;2
200;252;1.26;10;1.26;5;2.52;10;0.5576874058625884;137;0.44851904090267986;4.934747669559627;1;1.3;0.1;2
200;278;1.39;12;1.39;5;2.78;12;0.5196529085842062;131;0.44036697247706424;4.628627164106316;2;1.3;0.1;2
200;319;1.595;14;1.595;6;3.19;14;0.594892773892774;150;0.5052631578947369;4.875609756097561;0;1.3;0.3;2
200;313;1.565;16;1.565;5;3.13;16;0.6111235119047619;160;0.4186643835616438;5.421806167400881;1;1.3;0.3;2
200;362;1.81;26;1.81;6;3.62;26;0.565346779643871;152;0.3822508676251859;4.735599843688941;2;1.3;0.3;2
200;404;2.02;27;2.02;8;4.04;27;0.6763524867183405;164;0.45977011494252873;5.332221798780488;0;1.3;0.5;2
200;410;2.05;53;2.05;6;4.1;53;0.6812098776129041;173;0.283896990381632;4.2466758367721225;1;1.3;0.5;2
200;514;2.57;46;2.57;7;5.14;46;0.6649087185498352;179;0.32361140896418616;3.7236522583778533;2;1.3;0.5;2
200;571;2.855;72;2.855;10;5.71;72;0.7294267608795224;178;0.31636980491942324;4.158664138479418;0;1.3;0.7;2
200;598;2.99;135;2.99;7;5.98;135;0.7380614321331829;193;0.16402443739849973;2.6982149808152145;1;1.3;0.7;2
200;781;3.905;128;3.905;9;7.81;128;0.7578993939071015;197;0.22369042000943842;2.5374371859296483;2;1.3;0.7;2
200;838;4.19;173;4.19;13;8.38;173;0.7821672245700205;196;0.1795040173053152;2.2091959798994973;0;1.3;0.9;2
200;812;4.06;199;4.06;9;8.12;199;0.7750411612981389;200;0.14356453536704378;1.9591959798994976;1;1.3;0.9;2
200;1126;5.63;199;5.63;11;11.26;199;0.7972635537138116;200;0.1872095752170852;1.9434170854271358;2;1.3;0.9;2
200;1000;5.0;198;5.0;13;10.0;198;0.7958883003105924;200;0.16692880901425883;1.9571859296482412;0;1.3;1.0;2
200;916;4.58;199;4.58;10;9.16;199;0.7652054787727252;200;0.16049461814454127;1.9539698492462312;1;1.3;1.0;2
200;1339;6.695;199;6.695;12;13.39;199;0.7775862099394593;200;0.1920506691326575;1.932713567839196;2;1.3;1.0;2
200;321;1.605;10;1.605;6;3.21;11;0.608664525438719;155;0.5282224094355518;8.855904783914953;0;1.6;0.1;2
200;307;1.535;10;1.535;5;3.07;10;0.5621207554751858;158;0.4424778761061947;7.981235410307057;1;1.6;0.1;2
200;353;1.765;15;1.765;6;3.53;15;0.5171036930905352;152;0.41593475533249685;6.053552378920418;2;1.6;0.1;2
200;383;1.915;18;1.915;7;3.83;18;0.6308595298372917;164;0.4936708860759494;5.841734260332174;0;1.6;0.3;2
200;383;1.915;22;1.915;6;3.83;22;0.6298523761591943;176;0.40768814293448835;5.527374622790631;1;1.6;0.3;2
200;469;2.345;29;2.345;7;4.69;29;0.5990511275460096;173;0.39916639948701504;4.518180299571245;2;1.6;0.3;2
200;493;2.465;35;2.465;10;4.93;35;0.6861939115592237;178;0.44719424460431656;5.401573292402149;0;1.6;0.5;2
200;516;2.58;64;2.58;7;5.16;64;0.6705093188974769;190;0.2961994771767545;3.600881488736533;1;1.6;0.5;2
200;638;3.19;56;3.19;7;6.38;56;0.6834971671494869;188;0.33663506438375546;3.344049633389735;2;1.6;0.5;2
200;692;3.46;89;3.46;11;6.92;89;0.727427368686498;190;0.3067531476535673;3.3416895426529236;0;1.6;0.7;2
200;735;3.675;159;3.675;8;7.35;159;0.7374036957823865;198;0.1778700906344411;2.3796984924623117;1;1.6;0.7;2
200;953;4.765;150;4.765;10;9.53;150;0.7566985214136982;200;0.23553872123183334;2.28643216080402;2;1.6;0.7;2
200;999;4.995;192;4.995;13;9.99;192;0.7929346942365002;198;0.18802049051312136;2.0093467336683415;0;1.6;0.9;2
200;962;4.81;199;4.81;10;9.62;199;0.7589696119379803;200;0.1792687595712098;1.9516582914572864;1;1.6;0.9;2
200;1335;6.675;199;6.675;13;13.35;199;0.7917999223755393;200;0.21598501050400287;1.9329145728643216;2;1.6;0.9;2
200;1177;5.885;199;5.885;13;11.77;199;0.7866961068873508;200;0.1834346536091458;1.940854271356784;0;1.6;1.0;2
200;1098;5.49;199;5.49;11;10.98;199;0.7417668899624016;200;0.19502727938981027;1.944824120603015;1;1.6;1.0;2
200;1557;7.785;199;7.785;13;15.57;199;0.7850857907795017;200;0.22289225656745065;1.9217587939698493;2;1.6;1.0;2
200;371;1.855;10;1.855;7;3.71;12;0.5813879210220674;164;0.5191570881226054;6.978509006598895;0;1.9;0.1;2
200;373;1.865;11;1.865;6;3.73;11;0.5706290479546294;172;0.44854368932038835;6.7553304526457465;1;1.9;0.1;2
