n_vertices;n_edges;degree_mean;degree_max;degree_min;avg_local_clustering;global_clustering;avg_shortest_path_length;powerlaw_alpha;powerlaw_k_min;powerlaw_n_tail;seed;beta;gamma;dim
100;911;18.22;67;6;0.6313850381693146;0.5090744101633394;2.0557575757575757;5.7942576052841925;24;25;5;0.05;0.11;2
100;838;16.76;40;4;0.6184302362832133;0.5117404552787238;2.2088888888888887;5.237808024950481;22;27;6;0.05;0.11;2
100;793;15.86;34;3;0.6033859922103172;0.5041186161449753;2.2206060606060607;3.08791847960365;11;71;7;0.05;0.11;2
100;768;15.36;36;4;0.5812168567512346;0.5086043459238734;2.2975757575757574;6.262809742875452;23;18;8;0.05;0.11;2
100;847;16.94;39;4;0.602483865047799;0.5108438126480773;2.2062626262626264;3.248291927677025;12;75;9;0.05;0.11;2
100;772;15.44;43;4;0.5987383250863058;0.4955849889624724;2.2323232323232323;5.203113658564021;20;22;0;0.05;0.12;2
100;991;19.82;42;4;0.623380275795568;0.5290922869653082;2.0787878787878786;8.994944589188128;31;24;1;0.05;0.12;2
100;972;19.44;38;7;0.6101570206320465;0.5271097196527679;2.101818181818182;4.79886374939667;20;47;2;0.05;0.12;2
100;742;14.84;32;3;0.5829606182959989;0.5056578280695828;2.328080808080808;3.636785166031174;11;77;3;0.05;0.12;2
100;696;13.92;33;4;0.5857487851759141;0.504385559966762;2.3654545454545453;4.36848579013315;13;57;4;0.05;0.12;2
100;927;18.54;74;7;0.6361662712630816;0.5055969252942589;2.0032323232323233;5.198011157083469;23;28;5;0.05;0.12;2
100;847;16.94;41;4;0.6221089624971912;0.5143704910402607;2.1995959595959595;4.545182171470719;20;34;6;0.05;0.12;2
100;803;16.06;34;4;0.6073829383298487;0.5045957732304596;2.2096969696969695;3.140010341420594;11;74;7;0.05;0.12;2
100;774;15.48;36;5;0.5816606569576486;0.5087087951633799;2.2923232323232323;5.842257390916546;22;21;8;0.05;0.12;2
100;856;17.12;39;4;0.606238855039984;0.512360351794628;2.194949494949495;6.701406283395697;23;27;9;0.05;0.12;2
