beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;degree_mean_mean;degree_mean_median;degree_mean_std;degree_mean_cv;degree_mean_ci_low;degree_mean_ci_high;degree_max_mean;degree_max_median;degree_max_std;degree_max_cv;degree_max_ci_low;degree_max_ci_high;degree_min_mean;degree_min_median;degree_min_std;degree_min_cv;degree_min_ci_low;degree_min_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;powerlaw_alpha_mean;powerlaw_alpha_median;powerlaw_alpha_std;powerlaw_alpha_cv;powerlaw_alpha_ci_low;powerlaw_alpha_ci_high;powerlaw_k_min_mean;powerlaw_k_min_median;powerlaw_k_min_std;powerlaw_k_min_cv;powerlaw_k_min_ci_low;powerlaw_k_min_ci_high;powerlaw_n_tail_mean;powerlaw_n_tail_median;powerlaw_n_tail_std;powerlaw_n_tail_cv;powerlaw_n_tail_ci_low;powerlaw_n_tail_ci_high;powerlaw_ks_mean;powerlaw_ks_median;powerlaw_ks_std;powerlaw_ks_cv;powerlaw_ks_ci_low;powerlaw_ks_ci_high;powerlaw_valid_mean;powerlaw_valid_median;powerlaw_valid_std;powerlaw_valid_cv;powerlaw_valid_ci_low;powerlaw_valid_ci_high;powerlaw_reason_mode
0.2;0.8;2;100.0;100.0;0.0;0.0;100.0;100.0;3894.9;3894.5;180.78243830637976;0.04641516811891955;3782.8498838626215;4006.9501161373787;77.898;77.89;3.6156487661275953;0.046415168118919554;75.65699767725243;80.13900232274756;99.0;99.0;0.0;0.0;99.0;99.0;55.4;56.0;5.238320341483519;0.0945545187993415;52.15325541503493;58.64674458496507;0.8572779912867056;0.8577161670014584;0.020766425083913444;0.024223676911085405;0.8444068276703193;0.8701491549030919;0.8377224209390569;0.837760374784059;0.025569737987797346;0.03052292423919439;0.8218741331408835;0.8535707087372303;1.2131515151515153;1.2132323232323232;0.03652170470835957;0.030104817289700395;1.190515128053055;1.2357879022499756;5.134767778387351;5.14649928379132;0.37548526096142726;0.07312604525989955;4.902039602505031;5.367495954269671;61.6;61.5;4.2;0.06818181818181818;58.99681303014939;64.2031869698506;91.8;93.0;5.861740355901138;0.0638533807832368;88.16685568687397;95.43314431312602;0.14456278314765963;0.1415326808817145;0.020110192709941663;0.13911044234255415;0.13209835657058705;0.15702720972473222;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.2;1.0;2;100.0;100.0;0.0;0.0;100.0;100.0;4039.4;4032.0;170.37734591194922;0.04217887456353647;3933.7990269438774;4145.000973056123;80.78800000000001;80.64;3.4075469182389844;0.042178874563536466;78.67598053887755;82.90001946112247;99.0;99.0;0.0;0.0;99.0;99.0;59.7;60.0;4.73392015141785;0.07929514491487186;56.76588589178949;62.63411410821052;0.873039333456917;0.8728637341349492;0.019660746163940705;0.022519885886574352;0.8608534767351287;0.8852251901787053;0.8571528400492546;0.8564312496902196;0.024311245784278273;0.02836278974807022;0.8420845738000954;0.8722211062984139;1.1839595959595957;1.1854545454545455;0.0344196658407978;0.029071655788135885;1.1626260660492678;1.2052931258699235;5.5038261728397675;5.342764678300952;0.6460247357745122;0.11737738720065495;5.103415893228007;5.904236452451528;65.0;64.0;4.626013402488151;0.07116943696135616;62.132767187687755;67.86723281231225;92.5;93.5;6.711929677819934;0.07256140192237766;88.33990288574894;96.66009711425106;0.15797017889059903;0.15830244605154475;0.019076000477700136;0.12075697205427023;0.1461467513000245;0.16979360648117356;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.4;0.0;2;100.0;100.0;0.0;0.0;100.0;100.0;4165.0;4180.0;92.67901596370129;0.022251864577119158;4107.556950777313;4222.443049222687;83.3;83.6;1.8535803192740279;0.022251864577119182;82.15113901554626;84.44886098445373;94.7;95.0;1.4866068747318506;0.015698066259048054;93.77859151295422;95.62140848704578;57.1;58.0;2.8442925306655784;0.04981247864563185;55.33708922517332;58.86291077482668;0.865179033186644;0.8675302794381473;0.017129606658723026;0.019798915602047048;0.8545619929836311;0.8757960733896569;0.8647398133194513;0.8672497473762395;0.017124088005115723;0.019802590029227393;0.8541261936133816;0.8753534330255209;1.1585858585858586;1.1555555555555554;0.018723033528020464;0.016160246898640155;1.146981202177235;1.1701905149944822;37.69490993824145;36.87009817584109;8.332093609077456;0.22104028429113062;32.530624815687645;42.85919506079526;87.4;88.0;2.0591260281974;0.02355979437296796;86.12374046526578;88.67625953473423;49.1;49.5;5.57584074378026;0.11356091127862036;45.64405810234026;52.55594189765974;0.19546408935173504;0.20355372825578494;0.03202501794847386;0.16384092881043363;0.1756147775820448;0.21531340112142527;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.4;0.2;2;100.0;100.0;0.0;0.0;100.0;100.0;4478.4;4495.5;79.18484703527562;0.01768150389319302;4429.320723330513;4527.479276669486;89.568;89.91;1.5836969407055153;0.017681503893193052;88.58641446661026;90.54958553338973;99.0;99.0;0.0;0.0;99.0;99.0;69.3;69.5;2.7946377224964243;0.040326662662286065;67.5678655941296;71.0321344058704;0.9180560687364941;0.9210783348081166;0.013637251627414462;0.014854486661346504;0.9096036126076705;0.9265085248653178;0.9167619723294971;0.9196500485292171;0.013829384236088987;0.015085032596791125;0.9081904311760579;0.9253335134829362;1.0952727272727274;1.0918181818181818;0.015996938795005168;0.014605438806860627;1.0853577218849524;1.1051877326605024;31.69832581877328;32.3899205049635;11.182955132232765;0.35279324202067724;24.76705841766558;38.62959321988098;91.5;93.0;3.263433774416144;0.035665942889793925;89.47730279082607;93.52269720917393;52.5;51.5;11.002272492535349;0.2095670950959114;45.680720859211;59.319279140789;0.17670052853543977;0.17443851756708983;0.018185381532531002;0.10291639579835025;0.16542911228609533;0.1879719447847842;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.4;0.4;2;100.0;100.0;0.0;0.0;100.0;100.0;4626.5;4640.5;72.02256590819297;0.01556739779708051;4581.859951164901;4671.140048835099;92.53;92.81;1.4404513181638612;0.015567397797080527;91.63719902329802;93.42280097670198;99.0;99.0;0.0;0.0;99.0;99.0;77.0;76.5;3.1937438845342623;0.04147719330563977;75.02049703208104;78.97950296791896;0.943169627660484;0.9455835893889941;0.011991768147494142;0.012714328150323835;0.935737052758811;0.9506022025621569;0.942131337545932;0.944531584856569;0.01232019935549874;0.01307694465146489;0.934495198872552;0.9497674762193121;1.0653535353535353;1.0625252525252527;0.014550013314786454;0.013657450632064654;1.056335343669677;1.0743717270373936;19.062249436422633;12.349431256347817;12.193922749271474;0.639689601688471;11.50437781445396;26.620121058391305;88.2;85.5;4.190465367951392;0.047510945214868386;85.60272265631875;90.79727734368126;77.7;79.0;14.028898745090435;0.1805521074014213;69.00479847272072;86.39520152727928;0.22080592400032603;0.2150879246097192;0.03206829951460901;0.14523296718507273;0.20092978603801726;0.2406820619626348;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.4;0.6;2;100.0;100.0;0.0;0.0;100.0;100.0;4702.5;4699.0;62.5479815821422;0.013301006184400254;4663.732359370217;4741.267640629783;94.05;93.98;1.250959631642845;0.013301006184400267;93.27464718740434;94.82535281259565;99.0;99.0;0.0;0.0;99.0;99.0;80.8;81.0;2.891366458960192;0.03578423835346772;79.00791250213612;82.59208749786387;0.9560371961970524;0.9553438792672067;0.010421462961316717;0.010900687758563643;0.949577906533319;0.9624964858607858;0.9552718588453368;0.954533007311988;0.010730465252743763;0.011232891614449911;0.9486210475771517;0.961922670113522;1.05;1.0507070707070707;0.01263595587518022;0.012034243690647829;1.0421681534081246;1.0578318465918755;12.350454694500701;11.93611456138964;2.575694279123302;0.2085505629416368;10.754022840754859;13.946886548246544;86.6;87.0;2.1540659228538015;0.024873740448658217;85.26489610891136;87.93510389108863;91.4;93.5;7.657675887630659;0.08378201189967897;86.65372331190017;96.14627668809985;0.2405976153522838;0.23040993095041634;0.03479271753482533;0.14460956931714275;0.21903286560648616;0.26216236509808144;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.4;0.8;2;100.0;100.0;0.0;0.0;100.0;100.0;4746.3;4740.0;56.95269967262307;0.011999388928770425;4711.000351027241;4781.5996489727595;94.926;94.80000000000001;1.1390539934524633;0.011999388928770446;94.22000702054483;95.63199297945518;99.0;99.0;0.0;0.0;99.0;99.0;83.2;83.5;2.785677655436824;0.033481702589384904;81.47341910122925;84.92658089877075;0.9634123641587115;0.9621704328350906;0.009593323931121818;0.009957650833658415;0.957466360383699;0.9693583679337239;0.9628326715339528;0.961563364621026;0.009871090205640237;0.010252134662104834;0.9567145064383474;0.9689508366295582;1.0411515151515152;1.0424242424242425;0.011505595893459201;0.011050837199026534;1.0340202729347963;1.048282757368234;13.786977681698607;12.753209874348716;3.5094996189301657;0.25455177341650576;11.611767282009396;15.962188081387819;88.2;88.0;1.9390719429665315;0.02198494266401963;86.99815075820634;89.40184924179367;91.3;94.0;8.866228059327145;0.09711093164651857;85.80465491529422;96.79534508470577;0.25848172755427945;0.2524059623765713;0.034727583827295225;0.13435218092931797;0.2369573480986581;0.2800061070099008;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.4;1.0;2;100.0;100.0;0.0;0.0;100.0;100.0;4778.8;4772.0;48.29451314590509;0.010105991702081086;4748.86675063412;4808.7332493658805;95.576;95.44;0.9658902629181002;0.010105991702081069;94.97733501268237;96.17466498731761;99.0;99.0;0.0;0.0;99.0;99.0;84.8;85.0;2.3579652245103193;0.0278061936852632;83.33851801242712;86.26148198757288;0.9689362734114969;0.9677496734432206;0.00820631010707848;0.008469401272578168;0.9638499497111873;0.9740225971118065;0.9684953372495864;0.9672814802558185;0.008436219473308096;0.008710645419590737;0.9632665142477493;0.9737241602514234;1.0345858585858587;1.035959595959596;0.00975646730220305;0.009430311869465182;1.0285387375018424;1.040632979669875;13.234281428501543;12.99454142277109;2.3062719589249925;0.17426499288115269;11.804839258881215;14.663723598121871;88.2;88.5;1.7776388834631178;0.020154635866928772;87.09820800511167;89.30179199488833;95.7;97.5;4.148493702538308;0.043348941510327144;93.12873696405833;98.27126303594167;0.26853908287157957;0.2663079141447098;0.0339911785028684;0.1265781432608959;0.24747113216478595;0.2896070335783732;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.6;0.0;2;100.0;100.0;0.0;0.0;100.0;100.0;4786.3;4789.0;28.32331195323033;0.005917579749123609;4768.74502937627;4803.85497062373;95.726;95.78;0.5664662390646064;0.005917579749123607;95.37490058752542;96.07709941247458;99.0;99.0;0.0;0.0;99.0;99.0;83.7;84.0;1.5524174696260025;0.018547401070800506;82.73780168364313;84.66219831635688;0.9683519266687295;0.9688738213903729;0.00559464166327029;0.005777488028052637;0.9648843318404418;0.9718195214970172;0.9683120376914095;0.9688221796575446;0.005600915402298243;0.0057842050746901835;0.9648405543593861;0.9717835210234329;1.0330707070707073;1.0325252525252524;0.005721881202672782;0.005538712077992503;1.0295242483588427;1.0366171657825718;51.935644453032694;53.37037832579905;10.809961845474302;0.2081414789268697;45.235560686194376;58.63572821987101;95.1;95.0;0.8306623862918076;0.00873462025543436;94.5851501189667;95.6148498810333;76.6;75.5;4.862098312457287;0.06347386830884187;73.58644024449488;79.61355975550511;0.27975625612803867;0.2783491775800141;0.03120420404324394;0.11154068357621436;0.2604156900875786;0.29909682216849875;1.0;1.0;0.0;0.0;1.0;1.0;ok
0.6;0.2;2;100.0;100.0;0.0;0.0;100.0;100.0;4881.3;4882.5;17.97804216259379;0.0036830438945759923;4870.157094023551;4892.44290597645;97.626;97.65;0.35956084325187637;0.003683043894575998;97.40314188047101;97.848858119529;99.0;99.0;0.0;0.0;99.0;99.0;90.4;91.0;1.8;0.01991150442477876;89.2843484414926;91.51565155850741;0.9866352917611625;0.986769970114643;0.0034274556726286037;0.0034738831068069046;0.9845109327262274;0.9887596507960976;0.9866002927360198;0.9867428649688951;0.0034422423942947096;0.0034889938910810103;0.9844667687960447;0.9887338166759949;1.0138787878787878;1.0136363636363637;0.0036319277096149307;0.0035822109635152348;1.0116276957623334;1.0161298799952423;43.61441465542321;41.91139228964106;16.499561189647387;0.37830523050699155;33.387880679912996;53.840948630933426;95.5;96.0;1.2041594578792296;0.012608999558944813;94.75365423562533;96.24634576437467;88.8;91.5;6.779380502671317;0.0763443750300824;84.5980964313778;93.0019035686222;0.33871800831485704;0.3461054427463458;0.029453846367077267;0.08695683620015353;0.3204623252018196;0.3569736914278945;1.0;1.0;0.0;0.0;1.0;1.0;ok
