beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high
1.5;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;1196.0;1196.0;0.0;0.0;1196.0;1196.0;5.98;5.98;0.0;0.0;5.98;5.98;187.0;187.0;0.0;0.0;187.0;187.0;5.98;5.98;0.0;0.0;5.98;5.98;14.0;14.0;0.0;0.0;14.0;14.0;11.96;11.96;0.0;0.0;11.96;11.96;187.0;187.0;0.0;0.0;187.0;187.0;0.7560987203752884;0.7560987203752884;0.0;0.0;0.7560987203752884;0.7560987203752884;0.23697684489390428;0.23697684489390428;0.0;0.0;0.23697684489390428;0.23697684489390428;2.031256281407035;2.031256281407035;0.0;0.0;2.031256281407035;2.031256281407035
1.5;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;1581.0;1581.0;0.0;0.0;1581.0;1581.0;7.905;7.905;0.0;0.0;7.905;7.905;199.0;199.0;0.0;0.0;199.0;199.0;7.905;7.905;0.0;0.0;7.905;7.905;17.0;17.0;0.0;0.0;17.0;17.0;15.81;15.81;0.0;0.0;15.81;15.81;199.0;199.0;0.0;0.0;199.0;199.0;0.7715877976101541;0.7715877976101541;0.0;0.0;0.7715877976101541;0.7715877976101541;0.21667389771679593;0.21667389771679593;0.0;0.0;0.21667389771679593;0.21667389771679593;1.9205527638190956;1.9205527638190956;0.0;0.0;1.9205527638190956;1.9205527638190956
1.75;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;491.0;491.0;0.0;0.0;491.0;491.0;2.455;2.455;0.0;0.0;2.455;2.455;10.0;10.0;0.0;0.0;10.0;10.0;2.455;2.455;0.0;0.0;2.455;2.455;9.0;9.0;0.0;0.0;9.0;9.0;4.91;4.91;0.0;0.0;4.91;4.91;13.0;13.0;0.0;0.0;13.0;13.0;0.5621228216228217;0.5621228216228217;0.0;0.0;0.5621228216228217;0.5621228216228217;0.533357771260997;0.533357771260997;0.0;0.0;0.533357771260997;0.533357771260997;5.922495933069952;5.922495933069952;0.0;0.0;5.922495933069952;5.922495933069952
1.75;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;732.0;732.0;0.0;0.0;732.0;732.0;3.66;3.66;0.0;0.0;3.66;3.66;38.0;38.0;0.0;0.0;38.0;38.0;3.66;3.66;0.0;0.0;3.66;3.66;11.0;11.0;0.0;0.0;11.0;11.0;7.32;7.32;0.0;0.0;7.32;7.32;38.0;38.0;0.0;0.0;38.0;38.0;0.6365085509866097;0.6365085509866097;0.0;0.0;0.6365085509866097;0.6365085509866097;0.4763785079678466;0.4763785079678466;0.0;0.0;0.4763785079678466;0.4763785079678466;3.9608265395067423;3.9608265395067423;0.0;0.0;3.9608265395067423;3.9608265395067423
1.75;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;1369.0;1369.0;0.0;0.0;1369.0;1369.0;6.845;6.845;0.0;0.0;6.845;6.845;194.0;194.0;0.0;0.0;194.0;194.0;6.845;6.845;0.0;0.0;6.845;6.845;15.0;15.0;0.0;0.0;15.0;15.0;13.69;13.69;0.0;0.0;13.69;13.69;194.0;194.0;0.0;0.0;194.0;194.0;0.7557236138128899;0.7557236138128899;0.0;0.0;0.7557236138128899;0.7557236138128899;0.25305791313030457;0.25305791313030457;0.0;0.0;0.25305791313030457;0.25305791313030457;1.964924623115578;1.964924623115578;0.0;0.0;1.964924623115578;1.964924623115578
1.75;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;1782.0;1782.0;0.0;0.0;1782.0;1782.0;8.91;8.91;0.0;0.0;8.91;8.91;199.0;199.0;0.0;0.0;199.0;199.0;8.91;8.91;0.0;0.0;8.91;8.91;18.0;18.0;0.0;0.0;18.0;18.0;17.82;17.82;0.0;0.0;17.82;17.82;199.0;199.0;0.0;0.0;199.0;199.0;0.7759032791408897;0.7759032791408897;0.0;0.0;0.7759032791408897;0.7759032791408897;0.24125655902545018;0.24125655902545018;0.0;0.0;0.24125655902545018;0.24125655902545018;1.9104522613065327;1.9104522613065327;0.0;0.0;1.9104522613065327;1.9104522613065327
2.0;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;573.0;573.0;0.0;0.0;573.0;573.0;2.865;2.865;0.0;0.0;2.865;2.865;12.0;12.0;0.0;0.0;12.0;12.0;2.865;2.865;0.0;0.0;2.865;2.865;10.0;10.0;0.0;0.0;10.0;10.0;5.73;5.73;0.0;0.0;5.73;5.73;14.0;14.0;0.0;0.0;14.0;14.0;0.5945440670440671;0.5945440670440671;0.0;0.0;0.5945440670440671;0.5945440670440671;0.5471443965517241;0.5471443965517241;0.0;0.0;0.5471443965517241;0.5471443965517241;5.225352112676056;5.225352112676056;0.0;0.0;5.225352112676056;5.225352112676056
2.0;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;838.0;838.0;0.0;0.0;838.0;838.0;4.19;4.19;0.0;0.0;4.19;4.19;43.0;43.0;0.0;0.0;43.0;43.0;4.19;4.19;0.0;0.0;4.19;4.19;13.0;13.0;0.0;0.0;13.0;13.0;8.38;8.38;0.0;0.0;8.38;8.38;43.0;43.0;0.0;0.0;43.0;43.0;0.6376343452813684;0.6376343452813684;0.0;0.0;0.6376343452813684;0.6376343452813684;0.4750027112026895;0.4750027112026895;0.0;0.0;0.4750027112026895;0.4750027112026895;3.594170854271357;3.594170854271357;0.0;0.0;3.594170854271357;3.594170854271357
2.0;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;1536.0;1536.0;0.0;0.0;1536.0;1536.0;7.68;7.68;0.0;0.0;7.68;7.68;197.0;197.0;0.0;0.0;197.0;197.0;7.68;7.68;0.0;0.0;7.68;7.68;17.0;17.0;0.0;0.0;17.0;17.0;15.36;15.36;0.0;0.0;15.36;15.36;197.0;197.0;0.0;0.0;197.0;197.0;0.7525899376559867;0.7525899376559867;0.0;0.0;0.7525899376559867;0.7525899376559867;0.26947995097180877;0.26947995097180877;0.0;0.0;0.26947995097180877;0.26947995097180877;1.934422110552764;1.934422110552764;0.0;0.0;1.934422110552764;1.934422110552764
2.0;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;1950.0;1950.0;0.0;0.0;1950.0;1950.0;9.75;9.75;0.0;0.0;9.75;9.75;199.0;199.0;0.0;0.0;199.0;199.0;9.75;9.75;0.0;0.0;9.75;9.75;20.0;20.0;0.0;0.0;20.0;20.0;19.5;19.5;0.0;0.0;19.5;19.5;199.0;199.0;0.0;0.0;199.0;199.0;0.7670063055464221;0.7670063055464221;0.0;0.0;0.7670063055464221;0.7670063055464221;0.2610249550641642;0.2610249550641642;0.0;0.0;0.2610249550641642;0.2610249550641642;1.9020100502512562;1.9020100502512562;0.0;0.0;1.9020100502512562;1.9020100502512562
