beta;gamma;dim;n_vertices_mean;n_vertices_median;n_vertices_std;n_vertices_cv;n_vertices_ci_low;n_vertices_ci_high;n_edges_mean;n_edges_median;n_edges_std;n_edges_cv;n_edges_ci_low;n_edges_ci_high;indegree_mean_mean;indegree_mean_median;indegree_mean_std;indegree_mean_cv;indegree_mean_ci_low;indegree_mean_ci_high;indegree_max_mean;indegree_max_median;indegree_max_std;indegree_max_cv;indegree_max_ci_low;indegree_max_ci_high;outdegree_mean_mean;outdegree_mean_median;outdegree_mean_std;outdegree_mean_cv;outdegree_mean_ci_low;outdegree_mean_ci_high;outdegree_max_mean;outdegree_max_median;outdegree_max_std;outdegree_max_cv;outdegree_max_ci_low;outdegree_max_ci_high;total_degree_mean_mean;total_degree_mean_median;total_degree_mean_std;total_degree_mean_cv;total_degree_mean_ci_low;total_degree_mean_ci_high;total_degree_max_mean;total_degree_max_median;total_degree_max_std;total_degree_max_cv;total_degree_max_ci_low;total_degree_max_ci_high;avg_local_clustering_mean;avg_local_clustering_median;avg_local_clustering_std;avg_local_clustering_cv;avg_local_clustering_ci_low;avg_local_clustering_ci_high;global_clustering_mean;global_clustering_median;global_clustering_std;global_clustering_cv;global_clustering_ci_low;global_clustering_ci_high;avg_shortest_path_length_mean;avg_shortest_path_length_median;avg_shortest_path_length_std;avg_shortest_path_length_cv;avg_shortest_path_length_ci_low;avg_shortest_path_length_ci_high;expected_theoretical_outdegree_mean;outdegree_mean_vs_theory_ratio
0.25;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;171.2;178.0;28.950993074504368;0.16910626795855355;145.82333569595878;196.5766643040412;0.8560000000000001;0.89;0.14475496537252186;0.16910626795855355;0.729116678479794;0.9828833215202062;34.0;34.0;7.874007874011811;0.23158846688270032;27.098127790229668;40.90187220977033;0.8560000000000001;0.89;0.14475496537252186;0.16910626795855355;0.729116678479794;0.9828833215202062;3.6;3.0;0.8;0.22222222222222224;2.898769082256066;4.3012309177439345;1.7120000000000002;1.78;0.2895099307450437;0.16910626795855355;1.458233356959588;1.9657666430404124;34.0;34.0;7.874007874011811;0.23158846688270032;27.098127790229668;40.90187220977033;0.272870826685114;0.28444152996126676;0.07749102025227281;0.2839842616876574;0.20494695262459517;0.3407947007456328;0.17130654562561534;0.15789473684210525;0.054683291793132895;0.31921309015617755;0.12337452701391795;0.21923856423731275;2.537011965340996;2.276712328767123;0.5575380405289593;0.21976169136987944;2.0483083255444003;3.025715605137592;1.2500000000000002;0.6848
0.25;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;302.8;327.0;61.68435782270899;0.20371320284910496;248.73127644192073;356.8687235580793;1.514;1.635;0.308421789113545;0.20371320284910502;1.2436563822096034;1.7843436177903966;94.8;106.0;30.681590571546316;0.3236454701639907;67.90640010708867;121.69359989291132;1.514;1.635;0.308421789113545;0.20371320284910502;1.2436563822096034;1.7843436177903966;5.0;5.0;0.6324555320336759;0.12649110640673517;4.4456282835497465;5.5543717164502535;3.028;3.27;0.61684357822709;0.20371320284910502;2.487312764419207;3.5686872355807933;94.8;106.0;30.681590571546316;0.3236454701639907;67.90640010708867;121.69359989291132;0.4717014705105914;0.5150472207665164;0.08696596003562357;0.1843665230500291;0.3954724455502632;0.5479304954709197;0.09005397387417793;0.0859821139963366;0.037460200568123145;0.4159749865171078;0.05721866034510689;0.12288928740324898;2.8970528067312116;2.760907978795705;0.5915080867186651;0.20417580423260306;2.3785731086028514;3.4155325048595717;nan;nan
0.5;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;101.6;106.0;9.393614852653904;0.09245683910092425;93.36613354492556;109.83386645507443;0.508;0.53;0.04696807426326953;0.09245683910092427;0.46683066772462783;0.5491693322753721;4.0;4.0;0.6324555320336759;0.15811388300841897;3.4456282835497465;4.5543717164502535;0.508;0.53;0.04696807426326953;0.09245683910092427;0.46683066772462783;0.5491693322753721;3.6;3.0;0.8;0.22222222222222224;2.898769082256066;4.3012309177439345;1.016;1.06;0.09393614852653906;0.09245683910092427;0.9336613354492557;1.0983386645507442;4.8;5.0;0.7483314773547882;0.15590239111558088;4.144058539197284;5.455941460802715;0.12976666666666667;0.11550000000000002;0.039527571249558045;0.3046049672455025;0.09511922283727126;0.16441411049606208;0.4971656398206251;0.5309734513274337;0.06935595448952735;0.1395027108360719;0.4363724652985029;0.5579588143427473;1.9427768838158983;1.7587939698492463;0.43087776171220193;0.22178448040100976;1.565095873464774;2.3204578941670224;nan;nan
0.5;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;126.4;132.0;12.90891165048394;0.10212746558927167;115.08484004531974;137.71515995468027;0.632;0.66;0.06454455825241968;0.10212746558927165;0.5754242002265987;0.6885757997734013;7.0;7.0;1.8973665961010275;0.27105237087157535;5.33688485064924;8.663115149350759;0.632;0.66;0.06454455825241968;0.10212746558927165;0.5754242002265987;0.6885757997734013;3.8;4.0;0.7483314773547882;0.19692933614599692;3.144058539197285;4.455941460802715;1.264;1.32;0.12908911650483937;0.10212746558927165;1.1508484004531974;1.3771515995468027;7.4;8.0;1.7435595774162693;0.23561615911030664;5.871702646733955;8.928297353266046;0.18980317460317458;0.17973015873015874;0.026488936328124126;0.13956002782095236;0.16658459818888569;0.21302175101746348;0.4709331503822263;0.46706586826347307;0.0655988381236024;0.13929543518089568;0.4134332335567894;0.5284330672076631;2.203979260243972;1.9042553191489362;0.5338569310959039;0.24222411740698868;1.736033028073546;2.671925492414398;0.625;1.0112
0.5;0.4;2;200.0;200.0;0.0;0.0;200.0;200.0;160.4;167.0;13.661625086350453;0.08517222622413;148.42505762853116;172.37494237146885;0.8019999999999999;0.835;0.06830812543175227;0.08517222622413002;0.7421252881426557;0.8618747118573442;12.0;14.0;2.756809750418044;0.22973414586817034;9.583549710836161;14.416450289163839;0.8019999999999999;0.835;0.06830812543175227;0.08517222622413002;0.7421252881426557;0.8618747118573442;4.0;4.0;0.8944271909999159;0.22360679774997896;3.216;4.784;1.6039999999999999;1.67;0.13661625086350454;0.08517222622413002;1.4842505762853113;1.7237494237146884;12.2;14.0;2.4;0.19672131147540983;10.096307246768198;14.3036927532318;0.24358137418137416;0.24663170163170164;0.02410349068309194;0.09895457222087982;0.22245373306570299;0.2647090152970453;0.3978107410802288;0.4267515923566879;0.07494392546453793;0.1883909048333704;0.33211949403919017;0.4635019881212674;2.913019102167367;2.9842053307008887;0.30609242930119623;0.10507738485939039;2.6447172582756817;3.181320946059052;0.8333333333333334;0.9623999999999999
0.5;0.6;2;200.0;200.0;0.0;0.0;200.0;200.0;219.8;232.0;25.560907652115954;0.11629166356740651;197.3948765859235;242.20512341407652;1.0989999999999998;1.16;0.1278045382605798;0.11629166356740658;0.9869743829296171;1.2110256170703824;27.0;29.0;4.147288270665544;0.15360326928390902;23.364741549765686;30.635258450234314;1.0989999999999998;1.16;0.1278045382605798;0.11629166356740658;0.9869743829296171;1.2110256170703824;5.0;5.0;0.8944271909999159;0.17888543819998318;4.216;5.784;2.1979999999999995;2.32;0.2556090765211596;0.11629166356740658;1.9739487658592343;2.4220512341407647;27.0;29.0;4.147288270665544;0.15360326928390902;23.364741549765686;30.635258450234314;0.3460513521062523;0.3546087392811531;0.050518122640644335;0.14598446829687042;0.3017702652287528;0.39033243898375186;0.285554600493878;0.2830578512396694;0.04796025210645431;0.16795475199315701;0.24351558599407874;0.32759361499367723;3.2750070476759516;3.0046869768998996;0.4113635956132906;0.12560693446605167;2.9144309580780114;3.635583137273892;1.25;0.8791999999999998
0.5;0.8;2;200.0;200.0;0.0;0.0;200.0;200.0;340.6;368.0;54.6830869648011;0.16054928644979768;292.6681609282515;388.53183907174855;1.703;1.84;0.27341543482400554;0.16054928644979774;1.4633408046412573;1.9426591953587429;68.4;78.0;19.29352222897623;0.282069038435325;51.488482126077514;85.3115178739225;1.703;1.84;0.27341543482400554;0.16054928644979774;1.4633408046412573;1.9426591953587429;5.6;5.0;0.8;0.14285714285714288;4.898769082256066;6.301230917743934;3.406;3.68;0.5468308696480111;0.16054928644979774;2.9266816092825145;3.8853183907174857;68.4;78.0;19.29352222897623;0.282069038435325;51.488482126077514;85.3115178739225;0.5121433414395857;0.5623408408850824;0.08231029221956303;0.160717294475013;0.43999518924846626;0.5842914936307052;0.17980823134136192;0.16776007497656983;0.056511752232023836;0.31428901675106036;0.13027349649013706;0.2293429661925868;3.44597814748938;3.376873857404022;0.2511156693358418;0.07287210150151298;3.225865558404062;3.666090736574698;2.5000000000000004;0.6811999999999999
0.5;1.0;2;200.0;200.0;0.0;0.0;200.0;200.0;584.2;645.0;108.37970289680628;0.1855181494296581;489.20100184107207;679.198998158928;2.921;3.225;0.5418985144840315;0.18551814942965816;2.44600500920536;3.3959949907946396;165.2;182.0;33.71290554075694;0.20407327809174905;135.64933538480057;194.7506646151994;2.921;3.225;0.5418985144840315;0.18551814942965816;2.44600500920536;3.3959949907946396;7.4;7.0;1.0198039027185568;0.13781133820521038;6.506102466722276;8.293897533277724;5.842;6.45;1.083797028968063;0.18551814942965816;4.89201001841072;6.791989981589279;165.2;182.0;33.71290554075694;0.20407327809174905;135.64933538480057;194.7506646151994;0.7385723790856396;0.7789709099678135;0.09085258396840648;0.12301107723644221;0.6589365780411727;0.8182081801301064;0.10253423508039088;0.10444177671068428;0.02307055925012354;0.22500347549318833;0.08231199828560345;0.1227564718751783;2.358138336877867;2.1268341708542713;0.5558473186431191;0.23571446592020173;1.8709166801558426;2.845359993599891;nan;nan
0.75;0.0;2;200.0;200.0;0.0;0.0;200.0;200.0;147.6;148.0;14.319217855734998;0.0970136711093157;135.04865215205953;160.15134784794046;0.738;0.74;0.07159608927867499;0.0970136711093157;0.6752432607602976;0.8007567392397024;5.6;6.0;1.0198039027185568;0.18210783977117087;4.7061024667222755;6.493897533277724;0.738;0.74;0.07159608927867499;0.0970136711093157;0.6752432607602976;0.8007567392397024;4.0;4.0;0.6324555320336759;0.15811388300841897;3.4456282835497465;4.5543717164502535;1.476;1.48;0.14319217855734998;0.0970136711093157;1.3504865215205952;1.6015134784794047;6.6;7.0;1.0198039027185568;0.15451574283614497;5.7061024667222755;7.493897533277724;0.20534523809523808;0.18829761904761902;0.03841926039320641;0.1870959402301199;0.17166927156452394;0.23902120462595222;0.4641749300771184;0.4649122807017544;0.035643570879036836;0.07678909085657638;0.43293196267814593;0.4954178974760909;2.704159785314913;2.603082851637765;0.5792338476025539;0.21420104342506494;2.1964389321365516;3.211880638493274;nan;nan
0.75;0.2;2;200.0;200.0;0.0;0.0;200.0;200.0;186.2;184.0;12.890306435457616;0.06922828375648558;174.9011482353294;197.49885176467058;0.931;0.92;0.06445153217728805;0.06922828375648556;0.874505741176647;0.9874942588233531;9.6;8.0;2.4166091947189146;0.25173012444988696;7.4817486456985325;11.718251354301467;0.931;0.92;0.06445153217728805;0.06922828375648556;0.874505741176647;0.9874942588233531;4.4;4.0;0.48989794855663565;0.11134044285378082;3.97058551491595;4.829414485084051;1.862;1.84;0.1289030643545761;0.06922828375648556;1.749011482353294;1.9749885176467061;9.8;8.0;2.2271057451320084;0.22725568827877635;7.8478557430353675;11.752144256964634;0.26792839937839935;0.28219047619047616;0.02434664884193018;0.09086998204899152;0.24658762073912938;0.2892691780176693;0.4471577647184851;0.444794952681388;0.0451447260205133;0.10095928010762564;0.4075866676451564;0.48672886179181385;3.711668177616693;3.496879875195008;1.3560566061100605;0.36534963289223793;2.5230321545975904;4.900304200635795;0.9375;0.9930666666666668
