n_vertices;n_edges;indegree_mean;indegree_max;outdegree_mean;outdegree_max;total_degree_mean;total_degree_max;avg_local_clustering;vertices_degree_ge_2;global_clustering;avg_shortest_path_length;closed_wedges;wedges;indegree_alpha;indegree_xmin;indegree_KS;indegree_LRT_exp_R;indegree_LRT_exp_p;indegree_LRT_log_R;indegree_LRT_log_p;indegree_LRT_trunc_R;indegree_LRT_trunc_p;seed;beta;gamma;dim
1000;2089;2.089;41;2.089;8;4.178;41;0.6218302720843721;828;0.41401468788249696;7.672996086389332;5412.0;13072.0;2.6977129195601406;4.0;0.05936063890651311;0.11223660423212277;0.9106358065357727;-1.8604001675569455;0.0628289310069171;-1.9280324487601563;0.002275359040013303;44;1.5;0.3;2
1000;2152;2.152;51;2.152;7;4.304;51;0.6255689272487327;853;0.35024792324038895;6.671549554817541;5439.0;15529.0;2.7550756089062745;4.0;0.022976319516109567;2.4254638659903107;0.01528883765135149;-0.7389273871144117;0.4599510910794504;-1.1257597993778492;0.22076336154988563;45;1.5;0.3;2
1000;1906;1.906;32;1.906;7;3.812;32;0.5947115620528086;825;0.43076459963877184;10.847432042632247;4293.0;9966.0;2.5196172847420453;3.0;0.05334810311691035;-0.7465643126193651;0.4553265970752245;-2.793297827330786;0.005217363112973892;-2.8930133594206047;9.88333524132301e-06;46;1.5;0.3;2
1000;1882;1.882;20;1.882;8;3.764;20;0.6035904296228284;824;0.47050500653025684;11.192130112770304;4323.0;9188.0;2.573208284427783;3.0;0.07930858599054558;-2.887919778835271;0.003877987626603843;-3.6039275339629615;0.00031344448179829404;-3.88930333325024;1.9825253994021352e-08;47;1.5;0.3;2
1000;2118;2.118;34;2.118;8;4.236;34;0.6342677693957781;833;0.43785686351192804;8.435443511125417;5598.0;12785.0;2.9859091644624463;5.0;0.04330683392639334;-0.14380003400200875;0.8856583760250758;-1.5703103205389601;0.11634293432301769;-1.6773211124173035;0.011466722550873554;48;1.5;0.3;2
1000;2281;2.281;80;2.281;9;4.562;80;0.6280431075961738;841;0.33870451392594175;5.828668575871197;6348.0;18742.0;2.6235616186050548;4.0;0.025754181167288115;1.5377539069090647;0.12410879753331615;-1.0335978655666584;0.30132419764286766;-1.0474730717408096;0.08889182211405422;49;1.5;0.3;2
1000;3641;3.641;292;3.641;10;7.282;292;0.7336497312808553;967;0.14229890585547672;3.7313557833328566;16569.0;116438.0;2.5666010921097153;7.0;0.03217038076216394;2.0734228053847263;0.038132948373323636;0.050494632725899574;0.9597282264147888;-0.03879663372084609;0.9396174871071299;0;1.5;0.6;2
1000;3733;3.733;188;3.733;11;7.466;188;0.7195044284494667;969;0.27240037290794206;4.158192314600922;18408.0;67577.0;2.2611055658016674;5.0;0.03799589513103596;1.8603689933273766;0.06283333840729434;-1.4716154981745975;0.1411247380252802;-1.4905103772231554;0.015564686734161226;1;1.5;0.6;2
1000;3196;3.196;180;3.196;10;6.392;180;0.7026252994801971;926;0.23069267168374918;5.055318840481222;13212.0;57271.0;2.5253030729453014;6.0;0.03460093018281163;2.3757520816739395;0.01751322528821013;-0.23068214583917823;0.8175617450211587;-0.46873647309071326;0.6173803431026506;2;1.5;0.6;2
1000;3913;3.913;432;3.913;12;7.826;432;0.7287959432914886;967;0.13956503841931944;3.1596028434490258;20343.0;145760.0;2.2422402940039308;5.0;0.052095487702836785;1.531762482489692;0.12558105733447567;-1.0269228246961761;0.3044568056891448;-0.6489158507631206;0.15157699477034559;3;1.5;0.6;2
